iter	Passed	Remaining
296	629	1490
297	631	1488
298	633	1485
299	636	1484
300	637	1481
301	639	1478
302	641	1475
303	643	1472
304	644	1469
305	646	1465
306	652	1473
307	654	1470
308	655	1466
309	657	1463
310	658	1459
311	660	1455
312	661	1452
313	664	1451
314	667	1450
315	668	1447
316	669	1443
317	671	1439
318	672	1435
319	674	1432
320	675	1429
321	677	1426
322	679	1424
323	681	1421
324	682	1417
325	684	1414
326	685	1411
327	687	1408
328	688	1404
329	690	1401
330	691	1398
331	693	1395
332	694	1391
333	696	1388
334	697	1385
335	699	1382
336	700	1378
337	702	1375
338	704	1372
339	706	1370
340	709	1370
341	710	1367
342	712	1364
343	714	1361
344	715	1359
345	717	1356
346	718	1352
347	721	1350
348	723	1348
349	724	1346
350	726	1343
351	728	1341
352	730	1338
353	731	1334
354	732	1331
355	734	1329
356	736	1327
357	738	1324
358	739	1320
359	741	1317
360	742	1314
361	743	1311
362	745	1307
363	746	1304
364	748	1301
365	749	1298
366	752	1297
367	753	1294
368	755	1291
369	756	1288
370	758	1285
371	759	1282
372	761	1279
373	762	1276
374	764	1273
375	767	1273
376	769	1271
377	770	1268
378	772	1265
379	773	1262
380	775	1259
381	776	1256
382	778	1253
383	781	1254
384	783	1251
385	784	1248
386	786	1245
387	787	1242
388	788	1239
389	790	1235
390	791	1232
391	792	1229
392	794	1227
393	796	1225
394	798	1222
395	799	1219
396	800	1216
397	801	1212
398	803	1209
399	804	1206
400	805	1203
401	806	1200
402	808	1197
403	810	1195
404	811	1192
405	813	1190
406	814	1187
407	816	1184
408	817	1181
409	819	1179
410	821	1176
411	822	1173
412	830	1180
413	832	1178
414	834	1176
415	836	1174
416	842	1177
417	844	1176
418	849	1178
419	851	1176
420	859	1181
421	860	1179
422	863	1178
423	865	1176
424	868	1175
425	874	1178
426	877	1177
427	879	1175
428	882	1174
429	888	1178
430	890	1176
431	892	1173
432	894	1171
433	896	1169
434	898	1167
435	904	1170
436	906	1168
437	909	1167
438	911	1165
439	913	1163
440	919	1165
441	921	1163
442	923	1161
443	925	1159
444	928	1157
445	930	1155
446	932	1153
447	935	1152
448	937	1150
449	940	1149
450	942	1147
451	944	1145
452	947	1144
453	950	1142
454	951	1140
